0	ante peddi yedukkure ponnai vacci panam sambatikkuraange	None-of-the-above
1	yella idangalilum pengalai asinga paduthuvathey hiv velaya irukku	Misandry
2	pannikku porandha paradhesi raja ponna pundaiyaandi	Misandry
3	ayya white tshirt tamil culture pathi mulusa padichitu pesunga ji	None-of-the-above
4	madu vandhi bjb fraudulent lady	None-of-the-above
5	புரட்சியாளன் சுபா deiii sarakku midukku nnu pesnadhu naangala ila neenglada potta baadu	Misandry
6	siva kumar nos send pana	None-of-the-above
7	hraja punda nakkula yar irukka	Misandry
8	dravida kazigham periyar story	None-of-the-above
9	ivangale paathaa mathippaa irukk naan paarthathilaye romba azhagaana person manass ivanga thaa nnu manasaara solgiren	None-of-the-above
10	el tiger unaku epdi ponu mela attraction eruko andha mari avangaluku sex mela attraction eruku edha purinja theriyala sagu	Misandry
11	ramesh selvaraj neega entha ooru	None-of-the-above
12	ivanla alu ivana pathi pesa kuda kudathu	None-of-the-above
13	neega full parunga avangalukaga matumey idhaa pani irukom wt watch sis	None-of-the-above
14	ramrudhra official k ungaluku inni ellam success hana visayangal naddakum pray orruthavanga nambala vittu pona avangala vida true best person keddappanga	Hope-Speech
15	7 ponnuka kuda pesa paya padarathu 90kids ponnunga kuda sexual feeling varulana avanka gay ag adaii kattika pora ponna thavara mathavankala sister nenaikaravankalum irukanda	Misogyny
16	ayoo mudyala lussu mathyri yocikatha	None-of-the-above
17	police dvd pasangaluku ithuellam kannuku theriyatha	Transphobic
18	ivar kalukku vealai seivatharkku paerichi kodukkalame	None-of-the-above
19	ada chi saniyane po mental koodhi aambalaimga maathi maathi pool eh sappikonga pombalainga maathi maathi koodhi eh nakkikongavidhai epdi poda mudiyum kolandhai epdi porakumidha ulagathila namba onnu eh epdi vittu povom arivuketta naaye idhalam pozhappu idhuku otha periya pool maari explanation chi thoo naadu nakkinu dhaan po podhu	Misandry
20	mohideen asher 🤣hin dus enra sangigal azhiya vendum	None-of-the-above
21	enakku video paakupothu sujith nyabagam varuthu aluvatha saamy itha kettona	None-of-the-above
22	back voice kuduthathu yaaru sema editing🤣	None-of-the-above
23	free msg	None-of-the-above
24	anna reply pannunga pls1 good person	None-of-the-above
25	deepak marry	None-of-the-above
26	sornam lakshmi mudiyathu mooditu po	Misandry
27	yenda naya jathi karan vedaikura sappadu unnla sapuda mudiumah first athuku pathil sollu jathi karan mudi vettuviya ellame vera jathi venum ana oth——	Misandry
28	king transgender	None-of-the-above
29	anraiku oodagam oomayanathu yen	None-of-the-above
30	etha vida merina beach poi paruga thaga mudila ethuku mudivu illaya	None-of-the-above
31	sun glass kallatu oullunga pesuvingalo	None-of-the-above
32	karthik karthik karthik tel	None-of-the-above
33	suganya prakash enda thevidiya payya ootha unna vairamithuku petthala thevidiya payya	Misandry
34	yarukuna help boy girl vara mattaga yosipaga ivaga ethaum yosikama pannuvaga nerulaye pathu iruka avaga mala ennaku bayam neraya mariyatha please respect pannuga avagaluku	None-of-the-above
35	wrong culturekae kaedaana kaariyam	None-of-the-above
36	sariyaga solli irukkar virunthalikku poranthavan thane seeman	None-of-the-above
37	ivngala mathiri ala summa vidakuda du	None-of-the-above
38	world health ena ilukara ara kora nayae	None-of-the-above
39	daii seeman poundanithanivairamuthu kekkanum	Misandry
40	gr aenna	None-of-the-above
41	ena periya pudingi maathiri pesura adingu ootha oomala vaila asinga asingama varudhu pecha ketaley	Misogyny
42	swathi sankarraj athuvum husband samatham irunthapathi mudiyum panamum sari kapathuvathum sari payan kadaisi vara kapathitu irukuranmuthiyor illathula sethura thu paiyan solluringa appadiyavathu avungala pathukaraatha kooda ponnunga panna puguntha veedu permission venum	Counter-speech
43	ani anitha 4 languages sollu என்ன னு	None-of-the-above
44	ama evala allathu avana pathalaa dp vantha matheri	Misandry
45	hey rajasaathikitu kelambu leftla vita rightla thirumbikum	None-of-the-above
46	narambu thalarchi ungaluku irukunu nanaikiran check pannikonga	None-of-the-above
47	ading naathari avar side ninna unakenna prblm pidikalanna moodittu po avar romba nalla manusan kadavulukku theriyum yarai enga vaikkanum	None-of-the-above
48	college tuition endha oorla clg daily poradhe periya visayam idula tuition vera pongada domato	None-of-the-above
49	sirikka veppinganu vantha alavechuttinga anyway enakku pothuva thirunangai akkannale putikkum ippo mela periya mariyatha vanthuruchu thank tmppasanga love lots 🥰🥰🥰	None-of-the-above
50	nan manaivi sollathan kekkukiren love wife	None-of-the-above
51	sundaramoorthy mudanidam vadham seiyatheavargal unnai mudanai mathiduvanga entha mental thanna mental sollirukuketa iyarkai	None-of-the-above
52	ithu loosu koothiya ille poola	None-of-the-above
53	smart subash mudra maiyuru	None-of-the-above
54	pandiyan p number send pannu	None-of-the-above
55	like like like aatha solla vara	None-of-the-above
56	evankalukku vera thirunangai mariyathai vera	Transphobic
57	avan avan corona kasta padran ithu mukkiyam romba	None-of-the-above
58	china kara theva senji tamil nadu pakkam varadhaflight china pakkam povadhingaa	Xenophobia
59	nenaichi kuda pakkala entha short film entha alavoku nalla irukkunusemma vera level filmi love gay lifei like itpls next short film alu theva patta kupudugapls	None-of-the-above
60	vera velai irutha paarungada pundaigala	None-of-the-above
61	chi yanna poolapu ithu munda	Misogyny
62	janani ranjini ooi ithu kadavul padaippu ney onna padachikkire 9	None-of-the-above
63	heyenaya nadakuthuulakathula epa daipogada	None-of-the-above
64	ya news solla sonna lesson etukuringa	None-of-the-above
65	podum saami idhuvey thanga mudiyala	None-of-the-above
66	thevidiya payale echa raja vantheri naaye unaku onru theriyuma unmaiyana tamilan yentha ooru madhayhaiyum alladu antha madhathatin munargalai thittavo kochai padhatta mattan yen yenral adhu tamil panpatil illaiana unna maadri naayi islam pattiyum nabi saw avargalai patri thappa solluvangaipidiye pannikitte iru ooru naal naayi lorry le aadi pattu sagurathai pol neeyum saguve	Misandry
67	antha china vai bomb pottu mudichi vidunga	Xenophobia
68	illuminati kamanati paari modhala tamilandaawww kitta unity ila edhula adhuthavana pathi ellam pesakodtahu moodikittu irungada enjoying fight among tamils	Xenophobia
69	vijay ramanan pon namer sent	None-of-the-above
70	yenda raja modalla yarukku peranda	Misandry
71	ennadi urmai vendueruku naye mapilla veetukekarangana kalyanam panatha neeye kekara avakalukum unnakum ennadi vithiyasam	None-of-the-above
72	endi thevidiya punda sunni amma kuda poiyu padu	Misandry
73	superb antha akkake help pannungeh best ellorum avungaleh vidaikkameh irunthaleyh pothum	None-of-the-above
74	avan trp pasenathu pavaam antha loose ponuga	None-of-the-above
75	bala prince support panradhu ennakku kadamai mathiri ennoda kadamai ha naan seirathuku ennakku edhukku thanks ellam	None-of-the-above
76	wonder women award atlee wife kuduthutanga pa yeppaiyoo	None-of-the-above
77	nadu nasama poiduchi ponnunga thirunthave mattanga ponnunga thirunthave mattanga nadu nasama porathuku karanam ponnunga maddum	Misogyny
78	edhuku ellam guts veanum excellent job handsoff	Misandry
79	seruppala adi vanga pora raja	None-of-the-above
80	yar kitta pesanum nenaikringa enaku onnum puriyala	None-of-the-above
81	please lgbtq community insult pannatheenga please oorukannu	None-of-the-above
82	deepika dp solringaa	None-of-the-above
83	ayo nanba marana fun sonninga vera mathiri pannitinga realy emotional irunthuthu	None-of-the-above
84	தலைவா kuttitu poga kuttitu poga sollum bodhu chinna குழந்தை ga park kuttitu poga solli adam pidikura mari vara lavel prank thalaiva	Homophobia
85	romba slowah irukku konjam energy film pannunga	None-of-the-above
86	ena inaiku handsome irukinga kalakkunga summah therikkavidrom valka tmp	None-of-the-above
87	kavin pandi periyaar pota atha apdi sonaaru evano oruthan sona naama nama moolaiya use pananum	Counter-speech
88	watever adhgama varadhatchany kuduthalo aduthukitalum perasy perunastamdha adhu boy girl	None-of-the-above
89	eppaditha pannraga kuda paththu eruka chiii	None-of-the-above
90	namakku nnu onnu irukku hahahaha	None-of-the-above
91	rugan revals nampr	None-of-the-above
92	bad performanceneenga thirunangaiya mattam thatti pesuirukinga thambi video delete pannidu dakoooo	None-of-the-above
93	mother teresa pathi peasunga	None-of-the-above
94	romba thanks akka ennaku sathigama eruthuthu eppa ceilyar gay thaks akka	None-of-the-above
95	fate appdi indrathu unmaya adha pathi konjam pesungha anna	None-of-the-above
96	iyyo ivanunga tholla thanga mudiyalaakollama vida mattanga pola	None-of-the-above
97	yaaru tamil magan sebastian simon ennadaa kodumai	Misandry
98	desi gamer loosu payale neengalam ennaki thiruntha poreengalo	Xenophobia
99	chutti payyan sam nambika vaiga anna nadakumnu nambuna nadakum namala nama thane 1 st nambanum anna	None-of-the-above
100	kumar ksamy podda punnakku appa amma kudumpathai kadan ellam ennaiku parppathu girls nann parkerann stop stupid	None-of-the-above
101	manushan kozhandha pethukarudhukaga matumindha world porakala	Xenophobia
102	awesome ivalo nall brank vida ithu super feelings purenchu panirukinga semma	None-of-the-above
103	chandra lekha yara soldra	None-of-the-above
104	number ga	None-of-the-above
105	vijay visvasi naan yaara iruntha unaken eriyuthu punda vendantu arivuketta nayr	None-of-the-above
106	endha sedhanam vala kuduthahanupuradhu	None-of-the-above
107	transgender sonninga meera engada etho ponnah kuptu show panringa	None-of-the-above
108	maya mithra nalla docter parththittu vanthu varalaaru patti pesu ithu aarampa nilai kaaddinal sare aakidum	None-of-the-above
109	padu paavingla mobile kandupidipinganu ninacha disease kuda pudhusu pudhusa kandupidichu transport pandringleda	None-of-the-above
110	recent feb 4 friend love marriage pannikital andha paiyan endha nagaum venamnu sollitanga ipo date 16 friend kita dowry ketu velila anupitanga aval husband um appa amma vum ipo aval love marriage pannadhala friend appa amma veetla serthukala ipo enga kuda nanga avala thanga vachirukom	Counter-speech
111	100 varusham nalla irupa poda	Hope-Speech
112	anand sir correctah pesininha engaluku brahmins lot friends brahmins irukangaintha madhuvanthiyala ottu motha brahmins kevala padranga school business prachana vandha face pannanum udaney cast kondu vandhu politics panranga kamal pathoyum corectah sonninga avarala avara nambi vanthavanga vex agi nicaranga way sir correct opinion koduthinga	None-of-the-above
113	like love apdila	None-of-the-above
114	roll model pera paru roll model🤣 pera mathu vantan padikadha tharkuri கலாச்சார கன்னிs	None-of-the-above
115	cant accepted based sexsex thandi yevlavo eruku karumo etha support pana kudathu punishment kodukanum support panuna evanunga meethi erukavangalauim keduthuruvanga	None-of-the-above
116	thozhar senthil parpanargal enru soliruka vendam	None-of-the-above
117	thirunangahal eppadi uruvahureenga neengala marureengala thannale marureengala onnum puriyala	None-of-the-above
118	vanga ponga kuda peasalam	None-of-the-above
119	unmaiii aangal aanathikam pudichavanga sila aangal thayku matum mukiyathuvam kodukirargal ore pillayaga irupin	None-of-the-above
120	hello instagram	None-of-the-above
121	thirunangai romba mosamana vanganu nenaichan anna ana thapunu ippa theriyuthu	None-of-the-above
122	nanga dowry kekala marriage pannitu ponna job anupalama	Misogyny
