0	ante peddi yedukkure ponnai vacci panam sambatikkuraange	None-of-the-above
1	yella idangalilum pengalai asinga paduthuvathey hiv velaya irukku	None-of-the-above
2	pannikku porandha paradhesi raja ponna pundaiyaandi	Misandry
3	ayya white tshirt tamil culture pathi mulusa padichitu pesunga ji	None-of-the-above
4	madu vandhi bjb fraudulent lady	None-of-the-above
5	புரட்சியாளன் சுபா deiii sarakku midukku nnu pesnadhu naangala ila neenglada potta baadu	Misandry
6	siva kumar nos send pana	None-of-the-above
7	hraja punda nakkula yar irukka	Misandry
8	dravida kazigham periyar story	None-of-the-above
9	ivangale paathaa mathippaa irukk naan paarthathilaye romba azhagaana person manass ivanga thaa nnu manasaara solgiren	Counter-speech
10	el tiger epdi ponu mela attraction eruko andha mari avangaluku sex mela attraction edha purinja theriyala sagu	Homophobia
11	ramesh selvaraj neega entha ooru	None-of-the-above
12	ivanla alu ivana pathi kuda kudathu	None-of-the-above
13	neega full parunga avangalukaga matumey idhaa pani irukom wt watch sis	None-of-the-above
14	ramrudhra official ungaluku inni success hana visayangal naddakum pray orruthavanga nambala pona avangala true best person keddappanga	Hope-Speech
15	7 ponnuka kuda paya padarathu 90kids ponnunga kuda sexual feeling varulana avanka gay ag adaii kattika pora ponna thavara mathavankala sister nenaikaravankalum irukanda	Homophobia
16	ayoo mudyala lussu mathyri yocikatha	None-of-the-above
17	police dvd pasangaluku ithuellam kannuku theriyatha	Transphobic
18	ivar kalukku vealai seivatharkku paerichi kodukkalame	None-of-the-above
19	chi saniyane mental koodhi aambalaimga maathi maathi pool eh sappikonga pombalainga maathi maathi koodhi eh nakkikongavidhai epdi mudiyum kolandhai epdi porakumidha ulagathila namba onnu eh epdi povom arivuketta naaye idhalam pozhappu idhuku otha periya pool maari explanation chi thoo naadu nakkinu dhaan podhu	Misogyny
20	mohideen asher 🤣hin dus enra sangigal azhiya vendum	None-of-the-above
21	enakku video paakupothu sujith nyabagam varuthu aluvatha saamy itha kettona	None-of-the-above
22	back voice kuduthathu yaaru sema editing🤣	None-of-the-above
23	free msg	None-of-the-above
24	anna reply pannunga pls1 good person	Hope-Speech
25	deepak marry	None-of-the-above
26	sornam lakshmi mudiyathu mooditu	Misandry
27	yenda naya jathi karan vedaikura sappadu unnla sapuda mudiumah first athuku pathil sollu jathi karan mudi vettuviya ellame jathi venum oth——	Misandry
28	king transgender	None-of-the-above
29	anraiku oodagam oomayanathu	None-of-the-above
30	etha merina beach poi paruga thaga mudila ethuku mudivu illaya	Misandry
31	sun glass kallatu oullunga pesuvingalo	None-of-the-above
32	karthik karthik karthik tel	None-of-the-above
33	suganya prakash enda thevidiya payya ootha unna vairamithuku petthala thevidiya payya	Misandry
34	yarukuna help boy girl vara mattaga yosipaga ivaga ethaum yosikama pannuvaga nerulaye pathu avaga mala ennaku bayam neraya mariyatha please respect pannuga avagaluku	Counter-speech
35	wrong culturekae kaedaana kaariyam	None-of-the-above
36	sariyaga solli irukkar virunthalikku poranthavan thane seeman	Misandry
37	ivngala mathiri ala vidakuda du	None-of-the-above
38	world health ilukara ara kora nayae	Xenophobia
39	daii seeman poundanithanivairamuthu kekkanum	Misandry
40	gr aenna	None-of-the-above
41	periya pudingi maathiri pesura adingu ootha oomala vaila asinga asingama varudhu pecha ketaley	Misogyny
42	swathi sankarraj athuvum husband samatham irunthapathi mudiyum panamum kapathuvathum payan kadaisi vara kapathitu irukuranmuthiyor illathula sethura thu paiyan solluringa appadiyavathu avungala pathukaraatha kooda ponnunga puguntha veedu permission venum	Counter-speech
43	ani anitha 4 languages sollu என்ன னு	None-of-the-above
44	evala allathu avana pathalaa dp vantha matheri	Misandry
45	hey rajasaathikitu kelambu leftla vita rightla thirumbikum	None-of-the-above
46	narambu thalarchi ungaluku irukunu nanaikiran check pannikonga	Misogyny
47	ading naathari avar side ninna unakenna prblm pidikalanna moodittu avar romba manusan kadavulukku theriyum yarai vaikkanum	Counter-speech
48	college tuition endha oorla clg daily poradhe periya visayam idula tuition pongada domato	Misogyny
49	sirikka veppinganu vantha alavechuttinga anyway enakku pothuva thirunangai akkannale putikkum ippo mela periya mariyatha vanthuruchu thank tmppasanga love lots 🥰🥰🥰	Hope-Speech
50	nan manaivi sollathan kekkukiren love wife	None-of-the-above
51	sundaramoorthy mudanidam vadham seiyatheavargal unnai mudanai mathiduvanga entha mental thanna mental sollirukuketa iyarkai	Counter-speech
52	loosu koothiya ille poola	Misogyny
53	smart subash mudra maiyuru	None-of-the-above
54	pandiyan p number send pannu	None-of-the-above
55	like like like aatha solla vara	None-of-the-above
56	evankalukku thirunangai mariyathai	Transphobic
57	corona kasta padran mukkiyam romba	None-of-the-above
58	china kara theva senji tamil nadu pakkam varadhaflight china pakkam povadhingaa	Xenophobia
59	nenaichi kuda pakkala entha short film entha alavoku irukkunusemma level filmi love gay lifei like itpls next short film alu theva patta kupudugapls	None-of-the-above
60	velai irutha paarungada pundaigala	None-of-the-above
61	chi yanna poolapu munda	None-of-the-above
62	janani ranjini ooi kadavul padaippu ney onna padachikkire 9	Transphobic
63	heyenaya nadakuthuulakathula epa daipogada	Misogyny
64	news solla sonna lesson etukuringa	None-of-the-above
65	podum saami idhuvey thanga mudiyala	Transphobic
66	thevidiya payale echa raja vantheri naaye onru theriyuma unmaiyana tamilan yentha ooru madhayhaiyum alladu madhathatin munargalai thittavo kochai padhatta mattan yenral adhu tamil panpatil illaiana unna maadri naayi islam pattiyum nabi saw avargalai patri thappa solluvangaipidiye pannikitte iru ooru naal naayi lorry le aadi pattu sagurathai pol neeyum saguve	Misandry
67	china vai bomb pottu mudichi vidunga	Xenophobia
68	illuminati kamanati paari modhala tamilandaawww kitta unity ila edhula adhuthavana pathi pesakodtahu moodikittu irungada enjoying fight among tamils	Counter-speech
69	vijay ramanan pon namer sent	None-of-the-above
70	yenda raja modalla yarukku peranda	Misandry
71	ennadi urmai vendueruku naye mapilla veetukekarangana kalyanam panatha neeye kekara avakalukum unnakum ennadi vithiyasam	Misogyny
72	endi thevidiya punda sunni amma kuda poiyu padu	Misandry
73	superb akkake help pannungeh best ellorum avungaleh vidaikkameh irunthaleyh pothum	Hope-Speech
74	trp pasenathu pavaam loose ponuga	None-of-the-above
75	bala prince support panradhu ennakku kadamai mathiri ennoda kadamai ha naan seirathuku ennakku edhukku thanks	Hope-Speech
76	wonder women award atlee wife kuduthutanga pa yeppaiyoo	None-of-the-above
77	nadu nasama poiduchi ponnunga thirunthave mattanga ponnunga thirunthave mattanga nadu nasama porathuku karanam ponnunga maddum	Misogyny
78	edhuku guts veanum excellent job handsoff	None-of-the-above
79	seruppala adi vanga pora raja	Misandry
80	yar kitta pesanum nenaikringa enaku onnum puriyala	None-of-the-above
81	please lgbtq community insult pannatheenga please oorukannu	None-of-the-above
82	deepika dp solringaa	None-of-the-above
83	ayo nanba marana fun sonninga mathiri pannitinga realy emotional irunthuthu	None-of-the-above
84	தலைவா kuttitu poga kuttitu poga sollum bodhu chinna குழந்தை ga park kuttitu poga solli adam pidikura mari vara lavel prank thalaiva	Counter-speech
85	romba slowah irukku konjam energy film pannunga	None-of-the-above
86	inaiku handsome irukinga kalakkunga summah therikkavidrom valka tmp	None-of-the-above
87	kavin pandi periyaar pota atha sonaaru evano oruthan sona naama moolaiya use pananum	Counter-speech
88	watever adhgama varadhatchany kuduthalo aduthukitalum perasy perunastamdha adhu boy girl	Counter-speech
89	eppaditha pannraga kuda paththu eruka chiii	Misandry
90	namakku nnu onnu irukku hahahaha	None-of-the-above
91	rugan revals nampr	None-of-the-above
92	bad performanceneenga thirunangaiya mattam thatti pesuirukinga thambi video delete pannidu dakoooo	None-of-the-above
93	mother teresa pathi peasunga	None-of-the-above
94	romba thanks akka ennaku sathigama eruthuthu eppa ceilyar gay thaks akka	Hope-Speech
95	fate appdi indrathu unmaya adha pathi konjam pesungha anna	None-of-the-above
96	iyyo ivanunga tholla thanga mudiyalaakollama mattanga	Transphobic
97	yaaru tamil magan sebastian simon ennadaa kodumai	Misandry
98	desi gamer loosu payale neengalam ennaki thiruntha poreengalo	Misandry
99	chutti payyan sam nambika vaiga anna nadakumnu nambuna nadakum namala thane 1 st nambanum anna	Counter-speech
100	kumar ksamy podda punnakku appa amma kudumpathai kadan ennaiku parppathu girls nann parkerann stop stupid	Misogyny
101	manushan kozhandha pethukarudhukaga matumindha world porakala	Xenophobia
102	awesome ivalo nall brank super feelings purenchu panirukinga semma	Hope-Speech
103	chandra lekha yara soldra	None-of-the-above
104	number ga	None-of-the-above
105	vijay visvasi naan yaara iruntha unaken eriyuthu punda vendantu arivuketta nayr	Misandry
106	endha sedhanam vala kuduthahanupuradhu	None-of-the-above
107	transgender sonninga meera engada etho ponnah kuptu show panringa	Misogyny
108	maya mithra docter parththittu vanthu varalaaru patti pesu aarampa nilai kaaddinal sare aakidum	Misandry
109	padu paavingla mobile kandupidipinganu ninacha disease kuda pudhusu pudhusa kandupidichu transport pandringleda	Misogyny
110	recent feb 4 friend love marriage pannikital andha paiyan endha nagaum venamnu sollitanga ipo date 16 friend kita dowry ketu velila anupitanga aval husband um appa amma vum ipo aval love marriage pannadhala friend appa amma veetla serthukala ipo kuda nanga avala thanga vachirukom	Counter-speech
111	100 varusham irupa	Hope-Speech
112	anand sir correctah pesininha engaluku brahmins lot friends brahmins irukangaintha madhuvanthiyala ottu motha brahmins kevala padranga school business prachana vandha face pannanum udaney cast kondu vandhu politics panranga kamal pathoyum corectah sonninga avarala avara nambi vanthavanga vex agi nicaranga way sir correct opinion koduthinga	Counter-speech
113	like love apdila	None-of-the-above
114	roll model pera paru roll model🤣 pera mathu vantan padikadha tharkuri கலாச்சார கன்னிs	None-of-the-above
115	cant accepted based sexsex thandi yevlavo karumo etha support pana kudathu punishment kodukanum support panuna evanunga meethi erukavangalauim keduthuruvanga	Counter-speech
116	thozhar senthil parpanargal enru soliruka vendam	None-of-the-above
117	thirunangahal eppadi uruvahureenga neengala marureengala thannale marureengala onnum puriyala	Misandry
118	vanga ponga kuda peasalam	Misandry
119	unmaiii aangal aanathikam pudichavanga sila aangal thayku matum mukiyathuvam kodukirargal ore pillayaga irupin	Transphobic
120	hello instagram	None-of-the-above
121	thirunangai romba mosamana vanganu nenaichan anna thapunu ippa theriyuthu	Transphobic
122	nanga dowry kekala marriage pannitu ponna job anupalama	Misogyny
123	naal channel pakama poiten yo vj level	None-of-the-above
124	indhira lakshmi pesitea mudiyathula	None-of-the-above
125	thu naayingala kadavul adhanalathan ungala ippadi padaitthu irukirar	Xenophobia
126	pillagala apadi pana triyum	None-of-the-above
127	jallikattu julikku nadakkuthu	None-of-the-above
128	anna part 2i waiting	None-of-the-above
129	kandipa future students idhuvum syllabus vaika poringa aprm yaaru spread pannadhunu kandupidikala	Xenophobia
130	romba beautiful erukenga sister speech super motivation pesurenga congratulations sister vaalga valamudan	Hope-Speech
131	akka ungala madhiri oruthavangala valkaila paathadhey kidaiyadhu romba nalavanga akka unmaiyavey ninga ponnu enakku aluga varudhu akka	Hope-Speech
132	love enakku kannu kalakuthu	None-of-the-above
133	iyarkaina ennanu theriyadhavangadhan idha edhirppanga	Xenophobia
134	raja thala irrukathu pathuka	Misandry
135	dinesh dinesh kooda kovil aa	None-of-the-above
136	vittoda yaru irukanu sollu pannuva	Misandry
137	kiruku thallaya otha paya thevidiya movan	Misandry
138	yaaruda pakave maari irrukan	Misandry
139	tv channel tamilnadu romba nallathu panranga vanthu pesuna tn maaridum ippadilam ninaithal nammudaya muttal thanam	None-of-the-above
140	epa kakaralauinga poraku kulaindhai podanu apa yana panuva varathachanai kakalana kuda gowram panaranga pundaingala ethuku show purijikita life nala	Counter-speech
141	ariyama kannula kanneer vanthuruchu🥺🥺 akka manasukku irupinga	Hope-Speech
142	dinu kena paya maari pesra logic	Misandry
143	e ungala suthitae aduku entha topic romba pdichuruku	None-of-the-above
144	enakkum payyan venum 10 years waiting got	None-of-the-above
145	abbiramy arumugam akka ka solreenga sonna matradhellam okay aana 80s 90s kids naanga kalyanam aagama kaa irukrom permanent job venumaam kooda padicha girl kooda kalyanam aagama eppavo settled aana naanga boys 75 percent class marriage aagama irukom ellarukum vayasu 30 thaandiyaachu dowry aala kalyanam aagama ponnunga ennikai laam koranji pochi ponnu veetla edhirpaakra edhirpaarpuagal kita illadhadhunaala marriage aagama irukra boys jaasthi	Counter-speech
146	thala leval thalasemmaya pandrigaoru sec feel aayuruchu❤️keep rocking dudes❤️❤️❤️	Hope-Speech
147	moonjiyellam pakkarapa kollanum irukku pongadi prostitut pannunga paavam amma lam	Counter-speech
148	bad	None-of-the-above
149	babu natarajan im 30 baby	None-of-the-above
150	visuvanathan swamynathan okay thanks	None-of-the-above
151	otha potta raja nethanda unmayana devdiya paiyan	Misandry
152	really spr anna unmaiyave kannu kalankituchu	Hope-Speech
153	andha manasu sir kadavul❤	Hope-Speech
154	raja maamaku kovam vandhruchuuyaarum pakathla nikadhingah	Misandry
155	pavam nala manitharkaluku kastangal athigam	None-of-the-above
156	potta pachai sattakaran serupala adipen	Misandry
157	ippo karthu kandasami komavil irrunthergala 2012 year pesukergal	None-of-the-above
158	irukurathu life ogakaluku pudicha mari iruga	Transphobic
159	steroids explain panunga	None-of-the-above
160	acting lvl jaimani bayangaram yaa sema	None-of-the-above
161	public vedekkareaa pasanga thaaan 9 b veeda kevalam	None-of-the-above
162	im transmenenaku purium akkaonga kastam	None-of-the-above
163	seruppa kalatti adikanum veliya poi work panni sambathikka vendiyathu thana ipdi makkala asinga paduthanuma thoooooooo vaaila varuthu puduchu jail podunga sir	Counter-speech
164	beautiful katrina	None-of-the-above
165	keezha irukura comments lam padicha marriage panikira aasaiye varathu avlo wife padura kashtatha solli neraiya aangal veliya vesham ulla vesham podurangala	Counter-speech
166	bala kumar naan reply panirukeney ungaluku puriala aduthavangloda unarchy purium	None-of-the-above
167	29 ageah 1991 1992 ram	None-of-the-above
168	love latifah	None-of-the-above
169	look like da♡	None-of-the-above
170	hey editor ponnu diii chlm ellamthaium edit pannitapaavam ashiq bayainthu poiee thalli uikkaainthu erukan paya pulla🤣🤣🤣	Counter-speech
171	doesnt look like transgender	None-of-the-above
172	bad comments kodukura ovvoruthrkullum aairam kuppai atha clean pannituapram mathavangala pathi pesunga	Counter-speech
173	yov ambala thanaya apram pombalaingaluku support panra	None-of-the-above
174	poongavanam long	None-of-the-above
175	level superb short film	None-of-the-above
176	short film eduka therinja edunga solla varinga radha theliva sollithoaingalanda	None-of-the-above
177	publicity kaga pannathinga thanam nanba	None-of-the-above
178	lyk bcoz straightforwardkeep gng	None-of-the-above
179	desi gamer aama crctdhaan naan non muslimaagave iruntu poreneh	None-of-the-above
180	ramesh selvaraj pon namer sent pon namer	None-of-the-above
181	hmm sister srylam vendam ntg pblms take care	None-of-the-above
182	3 05yenga akka bayangaram	Hope-Speech
183	rajendran anga poitu oombu thoomaya kuduki	Misandry
184	part 2 yeppo varum konjam sikiram pootrunga	None-of-the-above
185	anga pesaraveenga person romba buthisalimari pesaranga ithanudaiya villaivu ennanu ungalluku aparamthan theriyum please mathiri pannatheenga asigatha pannatheenga stupid mari pannatheengga ithaellam godnu orutharu pathutu irukaru avaru kandipa manuchana padaichathuku romba kavala paduvaru god jesus ungala thallivachara ithaellathuku ungaluku mula use aguthu ungalukangayum orutharu irukarunu neinaika manuchan yethukumae laikae illanu adikadi proof pannireenga please thaiava seichu stop pannuga avangala yenkita vanthu solluka jesus coming soon	Counter-speech
186	like support paari	None-of-the-above
187	madan ugangal patho solluga plzzz	None-of-the-above
188	sweety achu hahhaa apo poga vendiyadh tan	Misandry
189	dis like pottavala otha manasa janmam daww	None-of-the-above
190	pinnadi vantha jatti kuda erukathu ambalaiyea pathalea mattiyam sonnagga chi keavalama piravi thu	Misogyny
191	5mints sollamutium ill try	None-of-the-above
192	manikandan maths call 9865039304	None-of-the-above
193	enn evalow paysureingalay mala oruthan 5 payru koinda judges koodutha judgement loose sa avainga uingaluku thareeinga visayam avaingaluku thareyatha thareyama avainga judgment kooduthainga enn evalow paysureeinga 5 vayasu koolinthaiya abuse pannureinga enn ethulam uinga kannuku correct ta thareyutha cha ariva koinjam thu use pannuinga avanuku ethu pudicheeruku mathavaingaluku enn koothikuthu unn kaiya pudichee elutha mathir secen pooduringa	Counter-speech
194	help panurthu therinchu panalam thape kedayadhu	None-of-the-above
195	enka urimai atha vitu kutuka mutiuma nan ethum kekala enka amma appa kita sis mrgbpani neraya panitanka v2 kututhutanka epo enakum nanka erukura v2 eluthybtharan solranka nan kekala future venuma solranka new home 15 laks appa amm kasta patu katina v2 kk	Counter-speech
196	naanum inthu thanda raja devidiya payala mathakalavaratha undakka pakkran punda mavan	Misandry
197	lesbian sister	Homophobia
198	akka ninka sema character ❤️❤️❤️❤️	Hope-Speech
199	thirunangaigalla nallavangalu erukaanga evangala maari erukaravangala serupula adikanu vaila kudathu bros	Misandry
200	maravan jathi ponnuinga veara paiyyana kalyanam pannuna vettuvarkal mr karupalaniappan mootu jathiya pathipesrathukku irukku raja maravan correct aa sonnaru mr karupalaniappan poi pondati bullaingala poi paru first	Counter-speech
201	echa raj appanku poruthikumathttan	Misandry
202	babu natarajan age	None-of-the-above
203	solli kuduthu nadikka vaikkura mathiri erukku	None-of-the-above
204	asiq actress interview pannirundha panirupa	Hope-Speech
205	naatula rape dhana panurenga straight pasangla sex panuvenga naanga koodatha	Homophobia
206	sallipaya saattai duraimurugan velaya paru paari	None-of-the-above
207	anna pesuna matum ketute irukanum thonum	None-of-the-above
208	lesbien kudhi nayai west culture namma naatuyai azhika podhu	Homophobia
209	goat gopi paatha echa velaiku pla uppu potu uumbu kudavey kuptu vantha rendu feminist mundaingalayo uumba sollu	Misandry
210	pothum konjam rest kudungada sappa munji dogsgals	Xenophobia
211	vijay prabu simon koothiyalukku pirandha 9 pundai mavanayunakkaydhuda sunniun 9 pundaiyai mooditu loosu koodhi	Misandry
212	ava alu pesuriga thuki vaikkanum ula avala	Misogyny
213	ra ra comments ponnunga poi soldranga thappu pandranga ponnunga ponnunga thappu pandranga pandra thappu husband supposed iruganum ninegaranga	Counter-speech
214	yaar brother andha aattu manada kaaran	Misandry
215	super anna waiting part 2	None-of-the-above
216	vaatitrain rush pooola amukipotalam semaya sonnan oruthaa	Misandry
217	unna prank sema effort full aha neega nala neraya parnk pannuga	None-of-the-above
218	tricky minds thevudiya mundaiku porandhavanae moola mangirucha kiruku punda inumae jathi verila dhanda polapu oduthu omala adha niruthu salugayu thana nikum aniku evanu venunu kekamatan aatitu vandhuruvan kiruku thayoli 200300 varushamama statics theriyama vaai punda pesadha thevidya	Misandry
219	opinion ennana semaya irukka phone number thariya palagalam	None-of-the-above
220	anand sir neenka eppavum correct aga pesakkudia allu	None-of-the-above
221	neeya naana namitha 324 yelaaa chanelaium pesuraaa	None-of-the-above
222	super g semma illathavanghulu kutunga pavam avanghalu sapatu potunga g	Hope-Speech
223	wonderfull video keep going ashiq	None-of-the-above
224	senthil pesave varadhu stalinukku annan vandhavan north indian moodu senthil ethana chanel maarna engalukku theriyadha	Xenophobia
225	pillgal ithy vutana amma appa iku thrya padutha vatum pillygalum illy allam patpiy vithu mirati vigirargal shool illy anral itanyo shool iruhirathu pilly hala usaraha irugl manam pona pin inna irtugu ougal patipy angum thtaralam manam gata patipu thvi illy pasahalitamgathll inru villuthu maranam viri sallgrirgl nami patra amma appa mathithu valy catal patti natagl allam naraga irugum vutana vittil soli vitugl yar miratinalum gahatirgl sapaha irugl attavn tapu saipavargly vita matan	Counter-speech
226	varadatchana venanu boys pesunale varadatchanai olikka patrukkunu thane artham	None-of-the-above
227	nan pangu eduthu erukkenbut ippo married	None-of-the-above
228	sky dugar thanks ngow	None-of-the-above
229	haaaaa haaaaaa sema sonneenga🤣🤣🤣🤣🤣🤣	None-of-the-above
230	sarath saravanan thambi jaadhi vaithu salugai vaanguvadhu degree padichuttu degree certificate aa kaila vechurukka maari certificate vachu vela vaangradhum veetla pootti vechuttu irukradhum avangavanga ishtam vela velavangavey vekka paduveengalooooooooooo🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔	Counter-speech
231	indian iruntha kovam varum	None-of-the-above
232	karta sonniga love	None-of-the-above
233	super speech anna sila aangalukku ithellam purivathu illai	Hope-Speech
234	boss inthi kara kutha	None-of-the-above
235	maari aalunga irundha velangidum	None-of-the-above
236	ameer dheen covai irukinga	None-of-the-above
237	anand srivasa sir super speech	None-of-the-above
238	puthusu puthusaaa kelambuthu	None-of-the-above
239	sravikumar sravikumar please sent pana	None-of-the-above
240	problem yenga veetlayum kelvi ketta badhil varadhu	None-of-the-above
241	sema vevarama like vaanguringa hmmmm	None-of-the-above
242	apdina samama sothu pirikka vendum varadhatchanai eppozudhum muzhu sothai kuraivudhane	Counter-speech
243	yennakku doudt one time china athibar chennai vantharula appo modium chinavum potta agreement irukkumo	Xenophobia
244	periya pudingi raja	Misandry
245	rajasakthi raja dheivamey eanga erundhalum erunga epdi varthai semma	Misandry
246	karaitu talaiva thevidiya pasangalukku pudungarathukku velaiye illaiya	Misandry
247	engala oruthen mirukangalnu sollirukancrctthan nanga mirukam thakattula irukura mirugangal kuda inathu kudathanda inai serumentha singamum panni kuda poi kudumpam nadathi pulla pekkathuதேடுவது வனமாக இருந்தாலும் சேர்வது இனமாக இருக்க வேண்டும் ⚔️️antha anna sonna maritha motha solli papom kekkalaya aruthu pottu poite irupomenagaluku mannum ponnum onnutha️️	Counter-speech
248	first medai naagarikathai kattrukulunga apro kadalula pathi pesalam	None-of-the-above
249	daipota சாதி mokkiyam	None-of-the-above
250	madan gowri thank anna sonnathu 20 years apparam palikkattum	Hope-Speech
251	raja enthaivanau canada chibba nate cporaikkilan mangalam 621205	Misandry
252	lam uyirooda irukan nallavanga yellam nammala poranga	None-of-the-above
253	muni vel come wats	None-of-the-above
254	neega adikkadi upper caste solratha mudhalla niruthunga	None-of-the-above
255	subash 24jc kitta decent dhana pesuraneenga ipdi pesuringaella ponnungalum ore mari bossna personal aah niraya patrukkamind language pleasena pasangala ipdi asingama solala	Counter-speech
256	anna super neraiya video podunga	None-of-the-above
257	kandipa video ellarukum reachana nallarukum	None-of-the-above
258	matheri iladhavangaliku help pannuga nambo chennal pakara pakaila nambalilah 4lu peru pasiya pokaram nambiku aadha podhum namaku thirunangai avangala ketanu solluga irudhu varaikkum nariya prank show pathuiruka yarumku comments pannadhuila idhudha youtubeila first comment neega nallah irukanum neega nallah irudha unagalaah 4lu peru nallah irupaganunu naanichidha comment pandra love you❤️	Hope-Speech
259	migavum sariyaga sonirkal well talk pari	None-of-the-above
260	name lathu endu sonnan	None-of-the-above
261	apro veetula poi yeppdi samalichinga athellam sollave illaye	Misandry
262	thirunangai frang sapdau kudukurethe yedukurathu romba secne sapdukudurathe video yedukathinga	None-of-the-above
263	kita pesi irudha savaadi adichi irupa naye	Misandry
264	thala sathish enakkum haha	None-of-the-above
265	isssshhh apha ingaiyum vanthutingala samy	None-of-the-above
266	chutti payyan sam mm sapita ga	None-of-the-above
267	vijay prabu pondaatiyai simonukku kooti kuduththa dabar mama payalayun 9 pundaiyai mooditu malayalaththan aamakari allakkai	Misandry
268	appa kuta mathiri feel	None-of-the-above
269	deiiii engalukune varuveengala	None-of-the-above
